"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","199201","0.907","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199202","0.754","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199203","0.914","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199204","0.818","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199205","0.932","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199206","0.942","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199207","0.824","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199208","0.763","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199209","0.705","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199210","0.693","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","199211","0.815","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
